code,category,name,status,location,permit_link,chp_number,chp_match_name,chp_match_kind,chp_confidence,chp_verified,chp_verify_returned_code
1100,גז,"י.א.מ.א. מרגליות פיתוח בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/י.א.מ.א.-מרגליות-פיתוח-בע_מ.pdf,513522615,"י.א.מ.א. מרגליות פיתוח בע""מ",company,exact,True,1100
1101,ביטוחים,"ים הדר סוכנות לביטוח (2017) בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ים-הדר-סוכנות-לביטוח-2017-בע_מ.pdf,515702728,"ים הדר סוכנות לביטוח ( 2017 ) בע""מ",company,exact,True,1101
854,"נדל""ן","ירוחם תיווך ויזמות בע""מ",היתר עסקה בתוקף,ישראל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/ירוחם-תיווך-ויזמות-בע_מ.pdf,,,,,,
872,לצפיה בהיתר עסקה,מגה פון,היתר עסקה בתוקף,ערד - ישראל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/מגה-פון-.pdf,,,,,,
1149,"נדל""ן","פנחס 70 רמת גן בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פנחס-70-רמת-גן-בע_מ.pdf,515423267,"פנחס 70 רמת גן בע""מ",company,exact,True,1149
1150,"נדל""ן","פרסונל אינווסט בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פרסונל-אינווסט-בע_מ.pdf,515947828,"פרסונל אינווסט בע""מ",company,exact,True,1150
1151,"נדל""ן","פרסונל אנד מור סוכנות לביטוח ותכנון פנסיוני (2018) בע""מ",היתר עסקה בתוקף,,https://drive.google.com/file/d/14tTyfcoTBHFMRnu-t6Kno5gMKksoxrr1/view?usp=sharing,515820751,"פרסונל אנד מור סוכנות לביטוח ותכנון פנסיוני (2018) בע""מ",company,exact,True,1151
1152,"נדל""ן","פרסונל יזמות מ.ל. בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/פרסונל-יזמות-מ.ל.-בע_מ.pdf,516022167,"פרסונל יזמות מ.ל. בע""מ",company,exact,True,1152
1155,"נדל""ן","תשתיות השרון מ.ל בע""מ",היתר עסקה בתוקף,,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/תשתיות-השרון-מ.ל-בע_מ.pdf,516038874,"תשתיות השרון מ.ל בע""מ",company,exact,True,1155
850,אשראי,"סילבר ג.י. ניהול בע""מ",היתר עסקה בתוקף,ישראל,https://heteriske.com/wp-content/uploads/custom_uploads/2026/08/סילבר-ג.י.-ניהול-בע_מ.pdf,515572212,"סילבר ג.י. ניהול בע""מ",company,exact,True,850
